Training setting: 
	{learning rate:0.001, batch size:24, optimizer:'SGD', total epochs:600}
	{autocast:'True', compile:'True', resume:'None'}
	{gradient accumulation: 8}
epoch    0 steps   3001:{'total_loss': 1.7534202056,  'cos': 6.4647211953,  'mse': 1.4935205094,  'bce': 4.1817553732,  'dice': 1.9350215274,  'ssim': 0.8872955562,  'kl': 0.8161331372,  }
epoch    0 steps   6001:{'total_loss': 1.1620986747,  'cos': 2.9143575430,  'mse': 1.3742132702,  'bce': 3.6757308857,  'dice': 1.7670085785,  'ssim': 0.9008213193,  'kl': 0.4617597914,  }
epoch    0 steps   9001:{'total_loss': 0.9899611643,  'cos': 2.1039313628,  'mse': 1.3004112376,  'bce': 3.3941632913,  'dice': 1.6168399946,  'ssim': 0.9045195924,  'kl': 0.4069986970,  }
epoch    0 steps  12001:{'total_loss': 0.9094884464,  'cos': 1.7368326360,  'mse': 1.2711911521,  'bce': 3.2205752898,  'dice': 1.5697742163,  'ssim': 0.9053323298,  'kl': 0.3887813078,  }
epoch    0 steps  15001:{'total_loss': 0.8560456603,  'cos': 1.5695687468,  'mse': 1.2360704915,  'bce': 3.0332031647,  'dice': 1.5199622066,  'ssim': 0.9063279204,  'kl': 0.3780622751,  }
epoch    0 steps  18001:{'total_loss': 0.8244347265,  'cos': 1.4977556121,  'mse': 1.2162703271,  'bce': 2.9118560844,  'dice': 1.4985091830,  'ssim': 0.9062810497,  'kl': 0.3678912944,  }
epoch    1 steps  21850:{'total_loss': 0.8077084695,  'cos': 1.4436734230,  'mse': 1.2178205198,  'bce': 2.8586609493,  'dice': 1.4924156435,  'ssim': 0.9053112789,  'kl': 0.3611076588,  }
epoch    1 steps  24850:{'total_loss': 0.7864491606,  'cos': 1.4175502824,  'mse': 1.1973107383,  'bce': 2.7550568245,  'dice': 1.4727412720,  'ssim': 0.9055306174,  'kl': 0.3605398579,  }
epoch    1 steps  27850:{'total_loss': 0.7651142429,  'cos': 1.3665133846,  'mse': 1.1718764582,  'bce': 2.6750904652,  'dice': 1.4421944890,  'ssim': 0.9067196580,  'kl': 0.3608186428,  }
epoch    1 steps  30850:{'total_loss': 0.7562506540,  'cos': 1.3864521073,  'mse': 1.1584906810,  'bce': 2.6262160246,  'dice': 1.4280550096,  'ssim': 0.9072123115,  'kl': 0.3545202316,  }
epoch    1 steps  33850:{'total_loss': 0.7427898952,  'cos': 1.3630666730,  'mse': 1.1395103880,  'bce': 2.5674978389,  'dice': 1.4039584460,  'ssim': 0.9084267825,  'kl': 0.3491311935,  }
